group,phenotype
Morphology,madin_categorical_gram_stain
RespirationMetabolism,madin_categorical_metabolism
Morphology,madin_categorical_motility_binary
Morphology,madin_categorical_motility_type
Morphology,madin_categorical_sporulation
GrowthConditions,madin_categorical_range_tmp
GrowthConditions,madin_categorical_range_salinity
Morphology,madin_categorical_cell_shape
GrowthConditions,madin_categorical_isolation_source
Morphology,madin_quantitative_d1_lo
Morphology,madin_quantitative_d1_up
Morphology,madin_quantitative_d2_lo
Morphology,madin_quantitative_d2_up
GrowthConditions,madin_quantitative_optimum_tmp
GrowthConditions,madin_quantitative_optimum_ph
GrowthConditions,madin_quantitative_growth_tmp
CarbonUtilization,madin_carbsubs_cellobiose
CarbonUtilization,madin_carbsubs_fructose
CarbonUtilization,madin_carbsubs_galactose
CarbonUtilization,madin_carbsubs_glucose
CarbonUtilization,madin_carbsubs_glycerol
CarbonUtilization,madin_carbsubs_lactose
CarbonUtilization,madin_carbsubs_maltose
CarbonUtilization,madin_carbsubs_mannose
CarbonUtilization,madin_carbsubs_N-acetylgulcosamine
CarbonUtilization,madin_carbsubs_ribose
CarbonUtilization,madin_carbsubs_salicin
CarbonUtilization,madin_carbsubs_trehalose
CarbonUtilization,madin_carbsubs_2-ketogluconate
CarbonUtilization,madin_carbsubs_5-ketogluconate
CarbonUtilization,madin_carbsubs_arabinose
CarbonUtilization,madin_carbsubs_ethanol
CarbonUtilization,madin_carbsubs_mannitol
CarbonUtilization,madin_carbsubs_melibiose
CarbonUtilization,madin_carbsubs_raffinose
CarbonUtilization,madin_carbsubs_rhamnose
CarbonUtilization,madin_carbsubs_sorbitol
CarbonUtilization,madin_carbsubs_sucrose
CarbonUtilization,madin_carbsubs_xylose
CarbonUtilization,madin_carbsubs_adonitol
CarbonUtilization,madin_carbsubs_alanine
CarbonUtilization,madin_carbsubs_arabitol
CarbonUtilization,madin_carbsubs_arginine
CarbonUtilization,madin_carbsubs_citrate
CarbonUtilization,madin_carbsubs_dextrin
CarbonUtilization,madin_carbsubs_fucose
CarbonUtilization,madin_carbsubs_gelatin
CarbonUtilization,madin_carbsubs_histidine
CarbonUtilization,madin_carbsubs_lactate
CarbonUtilization,madin_carbsubs_myo-inositol
CarbonUtilization,madin_carbsubs_ornithine
CarbonUtilization,madin_carbsubs_proline
CarbonUtilization,madin_carbsubs_serine
CarbonUtilization,madin_carbsubs_succinate
CarbonUtilization,madin_carbsubs_Tween 20
CarbonUtilization,madin_carbsubs_Tween 80
CarbonUtilization,madin_carbsubs_xylitol
CarbonUtilization,madin_carbsubs_gluconic acid
CarbonUtilization,madin_carbsubs_acetate
